        1	2017-09-14 14:33:19	1	1	1	0
        2	2017-09-14 14:33:27	1	0	1	0
        1	2017-09-14 14:33:32	1	1	1	0
        3	2017-09-14 14:34:56	1	0	1	0
        4	2017-09-14 14:37:37	1	1	1	0
        5	2017-09-14 14:37:45	1	0	1	0
        6	2017-09-14 14:39:19	1	1	1	0
        2	2017-09-14 14:40:59	1	0	1	0
        3	2017-09-14 14:41:02	1	1	1	0
        4	2017-09-14 14:41:05	1	0	1	0
        6	2017-09-14 14:41:08	1	1	1	0
        5	2017-09-14 14:41:17	1	0	1	0
        3	2017-09-14 14:41:20	1	255	1	0
        4	2017-09-14 14:41:27	1	255	1	0
        6	2017-09-14 14:41:32	1	255	1	0
        5	2017-09-14 14:41:46	1	255	1	0
        3	2017-09-14 14:41:49	1	255	1	0
        2	2017-09-14 14:41:56	1	255	1	0
        1	2017-09-14 16:02:49	1	255	1	0
        2	2017-09-14 16:04:33	1	255	1	0
        3	2017-09-14 16:04:36	1	255	1	0
        2	2017-09-14 16:05:11	1	255	1	0
        1	2017-09-14 16:05:41	1	255	1	0
        1	2017-09-14 16:05:51	1	255	1	0
        1	2017-09-14 16:05:56	1	255	1	0
        1	2017-09-14 16:05:59	1	255	1	0
        1	2017-09-14 16:06:05	1	255	1	0
        1	2017-09-14 16:06:08	1	255	1	0
        1	2017-09-14 16:06:16	1	255	1	0
        1	2017-09-14 16:06:23	1	255	1	0
        1	2017-09-14 16:06:31	1	255	1	0
